accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP890564	OP890564.1	MPXV/Human/USA/CA-LACPHL-MA00336/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9866486823623668	1133	601	0	good	good	good	good	good		False	2022.8561643835617
OP890565	OP890565.1	MPXV/Human/USA/CA-LACPHL-MA00308/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9858170773139155	2106	604	1	good	good	good	good	good		False	2022.8561643835617
OP890566	OP890566.1	MPXV/Human/USA/CA-LACPHL-MA00309/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-24		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9950154404717836	479	604	0	good	good	good	good	good		False	2022.8561643835617
OP920682	OP920682.1	MPXV/Human/USA/CA-LACPHL-MA00344/2022	2022-11-09	North America	USA			Homo sapiens	2022-11-30		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.11	0.9952081294464248	244	610	0	good	good	good	good	good		False	2022.8561643835617
OQ121043	OQ121043.1	hMpxV/USA/CA-CDPH-1000090/2022	2022-11-08	North America	USA			Homo sapiens	2022-12-26		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.8659746766121221	24903	529	0	bad	good	good	good	good		False	2022.8534246575343
OQ148472	OQ148472.1	LBMB-UTP_MP-019_VAC	2022-11-11	South America	Colombia	Valle del Cauca		Homo sapiens	2022-12-30		Tabares et al.	Tabares,F.A.,Anacona,J.D.,Lopez,P.A.,Orjuela,M.,Zuluaga-Velez,A.,Sepulveda-Arias,J.C.	Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud	IIb	hMPXV-1	B.1.10	0.9431466109558896	9492	574	0	mediocre	good	good	good	good		False	2022.8616438356164
OQ319136	OQ319136.1	MPXV/Germany/2022/ON/RKI678	2022-05-XX	Europe	Germany			Homo sapiens	2023-01-30		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9621619702954732	950	577	0	good	good	good	good	good		False	[2022.3301369863013:2022.4123287671232]
OQ320457	OQ320457.1	MPXV_USA_2022_MI0005	2022-08-XX	North America	USA	Michigan		Homo sapiens	2023-01-30	SRR23195211	Gigante et al.	Gigante,C.,Johnson,S.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Weigand,M.,Knipe,K.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Riner,D.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.2	0.999781957212906	41	610	1	good	good	good	good	good		False	[2022.5821917808219:2022.664383561644]
OQ330974	OQ330974.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00395/2022	2022-12-23	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9910247503917164	221	600	1	good	good	good	good	good		False	2022.9767123287672
OQ330993	OQ330993.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00371/2022	2022-10-24	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9799147097749088	3139	602	0	good	good	good	good	good		False	2022.8123287671233
OQ330995	OQ330995.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00388/2022	2022-12-10	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.8935190584608208	19860	531	0	mediocre	good	good	good	good	OPG178:158-205	False	2022.941095890411
OQ330996	OQ330996.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00389/2022	2022-12-12	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9872013954738376	1352	608	1	good	good	good	good	good		False	2022.9465753424658
OQ330999	OQ330999.2	Monkeypox virus/Human/USA/CA-LACPHL-MA00391/2022	2022-12-19	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9859793417136136	1217	601	0	good	good	good	good	good		False	2022.9657534246576
OQ331002	OQ331002.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00374/2022	2022-11-23	North America	USA			Homo sapiens	2023-01-26		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9912884300412252	479	602	0	good	good	good	good	good	OPG153:386-510	False	2022.8945205479451
OQ427112	OQ427112.1	MPXV_USA_2022_NV0005	2022-10-XX	North America	USA	Nevada		Homo sapiens	2023-02-18	SRR23322640	Gigante et al.	Gigante,C.,Buttery,E.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Knipe,K.,Burroughs,M.S.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Raman,D.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.1	0.9997920987378872	41	609	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ427118	OQ427118.1	MPXV_USA_2022_NY0043	2022-10-XX	North America	USA	New York		Homo sapiens	2023-02-18	SRR23322635	Gigante et al.	Gigante,C.,Ruiz,V.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Wang,J.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.2	0.999781957212906	43	611	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OQ427129	OQ427129.1	MPXV_USA_2022_UT0007	2022-09-XX	North America	USA	Utah		Homo sapiens	2023-02-18	SRR23322650	Gigante et al.	Gigante,C.,Murray,J.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Knipe,K.,Burroughs,M.S.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Atkinson,A.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.12	0.9997920987378872	41	616	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ427137	OQ427137.1	MPXV_USA_2022_DC0024	2022-09-XX	North America	USA	Washington DC		Homo sapiens	2023-02-18	SRR23322550	Gigante et al.	Gigante,C.,Hauser,J.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Mangla,A.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1	0.9997920987378872	41	607	0	good	good	good	good	good		False	[2022.6671232876713:2022.7465753424658]
OQ427141	OQ427141.1	MPXV_USA_2022_FL0005	2022-06-XX	North America	USA	Florida		Homo sapiens	2023-02-18		Gigante et al.	Gigante,C.,Lee,P.,Zhao,H.,Batra,D.,Hetrick,E.,Howard,D.,Kovar,L.,Seabolt,M.,Morrison,S.,Desch,M.,Knipe,K.,Weigand,M.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Stanek,D.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.8	0.9997920987378872	41	611	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OQ451894	OQ451894.1	MPXV/Germany/2022/RKI709	2022-06-XX	Europe	Germany			Homo sapiens	2023-02-22		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9999137970376606	17	605	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OQ451904	OQ451904.1	MPXV/Germany/2023/RKI719	2023-01-XX	Europe	Germany			Homo sapiens	2023-02-22		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.3	1.0	0	620	0	good	good	good	good	good		False	[2023.0013698630137:2023.0835616438355]
OQ503752	OQ503752.1	MpxV/human/USA/WA-UW-118017/2022	2022-11-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23575097	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.2	0.9999137970376606	17	611	0	good	good	good	good	good		False	[2022.8342465753424:2022.9136986301369]
OQ503753	OQ503753.1	MpxV/human/USA/WA-UW-110466/2022	2022-11-XX	North America	USA	Washington		Homo sapiens	2023-02-28	SRR23575096	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.2	1.0	0	611	0	good	good	good	good	good		False	[2022.8342465753424:2022.9136986301369]
OQ503813	OQ503813.1	MPXV/Human/USA/CA-LACPHL-MA00420/2022	2022-12-01	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9852592934399546	1358	602	1	good	good	good	good	good		False	2022.9164383561645
OQ503815	OQ503815.1	MPXV/Human/USA/CA-LACPHL-MA00422/2022	2022-12-03	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.6	0.991166731741452	310	607	0	good	good	good	good	good		False	2022.9219178082192
OQ503829	OQ503829.1	MPXV/Human/USA/CA-LACPHL-MA00406/2023	2023-01-09	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9792757937010989	934	595	0	good	good	good	good	good		False	2023.0232876712328
OQ503839	OQ503839.1	MPXV/Human/USA/CA-LACPHL-MA00463/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9691494810074592	5287	574	2	good	good	good	good	good		False	2023.0698630136985
OQ503842	OQ503842.1	MPXV/Human/USA/CA-LACPHL-MA00466/2023	2023-01-26	North America	USA			Homo sapiens	2023-02-28		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.8039389683026636	37998	489	1	bad	good	good	good	good		False	2023.0698630136985
OQ547772	OQ547772.1	MPXV/Germany/2022/ON/RKI745	2022-08-XX	Europe	Germany			Homo sapiens	2023-03-07		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.3	0.9647886252655812	434	581	0	good	good	good	good	good		False	[2022.5821917808219:2022.664383561644]
OQ547881	OQ547881.1	hMpxV/USA/CACDPH1MPX1000173/2022	2023-01-09	North America	USA			Homo sapiens	2023-03-07		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.989615078419342	1339	604	0	good	good	good	good	good		False	2023.0232876712328
OQ547882	OQ547882.1	hMpxV/USA/CACDPH1MPX1000174/2022	2022-12-23	North America	USA			Homo sapiens	2023-03-07		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.97928593522608	3373	593	1	good	good	good	good	good		False	2022.9767123287672
OQ547894	OQ547894.1	hMpxV/USA/CACDPH1MPX1000169/2023	2023-01-09	North America	USA			Homo sapiens	2023-03-07		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9703157563802868	5170	584	0	good	good	good	good	good		False	2023.0232876712328
OQ547900	OQ547900.1	hMpxV/USA/CACDPH1MPX1000185/2022	2022-12-21	North America	USA			Homo sapiens	2023-03-07		Probert et al.	Probert,W.,Espinosa,A.,Kath,C.,Haw,M.,O'Neil,R.,Bell,J.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1.4	0.9862835874630468	1165	600	0	good	good	good	good	good		False	2022.9712328767123
OQ581855	OQ581855.1	MPXV/human/Taiwan/0310000009/2023	2023-03-XX	Asia	Taiwan			Homo sapiens	2023-03-13		Lin et al.	Lin,J.-H.,Chiu,S.-C.,Huang,H.-I.,Huang,W.-L.,Li,T.-Y.,Fann,W.-B.,Hsieh,P.-Y.,Yang,J.-Y.	Centers for Disease Control, Taiwan, Center of Diagnostics and Vaccine Development	IIb	hMPXV-1	C.1	1.0	0	613	0	good	good	good	good	good		False	[2023.16301369863:2023.2452054794521]
OQ603483	OQ603483.1	hMpxV/USA/CA-CDPH-1MPX1000214/2023	2023-01-31	North America	USA			Homo sapiens	2023-03-15		Haw et al.	Haw,M.,Kath,C.,Espinosa,A.,O'Neil,R.,Hacker,J.	CDPH, VRDL	IIb	hMPXV-1	B.1	0.9744078617101654	3508	594	1	good	good	good	good	mediocre		False	2023.0835616438355
OQ644780	OQ644780.1	MPXV/Human/USA/CA-LACPHL-MA00474/2022	2022-11-18	North America	USA			Homo sapiens	2023-03-22		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9944424443103508	406	607	0	good	good	good	good	good		False	2022.8808219178081
OQ672572	OQ672572.1	26012023_anal	2023-01-26	Europe	Belgium			Homo sapiens	2023-03-27		Mertes et al.	Mertes,H.,Rezende,A.M.,Naesens,R.,de Block,T.,Michiels,J.,Coppens,J.,Van Dijck,C.,Bomans,P.,Arien,K.,Bottieau,E.,Van Esbroeck,M.,Liesenborghs,L.,Vercauteren,K.	Institute of Tropica Medicine, Department of Clinical Sciences	IIb	hMPXV-1	B.1	0.9695906373441374	5125	580	0	good	good	good	good	good	OPG002:44-350	False	2023.0698630136985
OQ672577	OQ672577.1	13022023_anal	2023-02-13	Europe	Belgium			Homo sapiens	2023-03-27		Mertes et al.	Mertes,H.,Rezende,A.M.,Naesens,R.,de Block,T.,Michiels,J.,Coppens,J.,Van Dijck,C.,Bomans,P.,Arien,K.,Bottieau,E.,Van Esbroeck,M.,Liesenborghs,L.,Vercauteren,K.	Institute of Tropica Medicine, Department of Clinical Sciences	IIb	hMPXV-1	B.1	0.9426040393694	10422	567	0	mediocre	good	good	mediocre	good	OPG002:49-350,OPG082:278-329,OPG082:354-356,OPG082:374-383	False	2023.1191780821919
OQ672578	OQ672578.1	23022023_anal	2023-02-23	Europe	Belgium			Homo sapiens	2023-03-27		Mertes et al.	Mertes,H.,Rezende,A.M.,Naesens,R.,de Block,T.,Michiels,J.,Coppens,J.,Van Dijck,C.,Bomans,P.,Arien,K.,Bottieau,E.,Van Esbroeck,M.,Liesenborghs,L.,Vercauteren,K.	Institute of Tropica Medicine, Department of Clinical Sciences	IIb	hMPXV-1	B.1	0.9664163400250496	5751	570	0	good	good	good	mediocre	good	OPG002:48-350,OPG080:87-772	False	2023.1465753424657
OQ672580	OQ672580.1	MPXV/human/Taiwan/110-093354/2023	2023-03-XX	Asia	Taiwan			Homo sapiens	2023-03-27		Lin et al.	Lin,J.-H.,Chiu,S.-C.,Huang,H.-I.,Huang,W.-L.,Li,T.-Y.,Fann,W.-B.,Hsieh,P.-Y.,Yang,J.-Y.	Centers for Disease Control, Taiwan, Center of Diagnostics and Vaccine Development	IIb	hMPXV-1	B.1	1.0	0	613	0	good	good	good	good	good		False	[2023.16301369863:2023.2452054794521]
OQ696101	OQ696101.1	ANT-LDSP-ANT-MPX-30628C	2022-11-11	South America	Colombia	Antioquia		Homo sapiens	2023-04-02		Betancur et al.	Betancur,I.I.B.,Velarde Hoyos,C.A.C.V.,Gomez,R.R.G.,Mercado-Reyes,M.M.R.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	IIb	hMPXV-1	B.1.11	0.9623293054576616	7305	585	0	mediocre	good	good	good	good		False	2022.8616438356164
OQ721952	OQ721952.1	MPXV/human/Taiwan/240031000030/2023	2023-03-XX	Asia	Taiwan			Homo sapiens	2023-04-05		Lin et al.	Lin,J.-H.,Chiu,S.-C.,Huang,H.-I.,Huang,W.-L.,Li,T.-Y.,Fann,W.-B.,Hsieh,P.-Y.,Yang,J.-Y.	Centers for Disease Control, Taiwan, Center of Diagnostics and Vaccine Development	IIb	hMPXV-1	C.1	1.0	0	619	0	good	good	good	good	good		False	[2023.16301369863:2023.2452054794521]
OQ773428	OQ773428.1	MPXV/Germany/2022/ON/RKI809	2022-07-XX	Europe	Germany			Homo sapiens	2023-04-12		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1	0.9519190300645508	2971	570	0	good	good	good	good	good		False	[2022.4972602739726:2022.5794520547945]
OQ918696	OQ918696.1	MPXV/Human/USA/CA-LACPHL-MA00485/2023	2023-03-11	North America	USA			Homo sapiens	2023-05-09		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9648545451779584	5381	585	2	good	good	good	good	good		False	2023.190410958904
OQ918701	OQ918701.1	MPXV/Human/USA/CA-LACPHL-MA00490/2023	2023-02-10	North America	USA			Homo sapiens	2023-05-09		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.12	0.9836772155429012	1669	607	3	good	good	good	good	good		False	2023.1109589041096
OQ979623	OQ979623.1	MpxV/human/USA/WA-UW-048370/2023	2023-04-XX	North America	USA	Washington		Homo sapiens	2023-05-21	SRR24518610	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1.2	1.0	0	615	0	good	good	good	good	good		False	[2023.2479452054795:2023.327397260274]
OR035702	OR035702.1	MPXV/UZ_REGA_96	2022-05-30	Europe	Belgium			Homo sapiens	2023-05-29		Wawina-Bokalanga et al.	Wawina-Bokalanga,T.,Vanmechelen,B.,Logist,A.-S.,Ysebaert,L.,Verlinden,J.,Horemans,M.,Van Holm,B.,Bloemen,M.,Maes,P.	KU Leuven, Microbiology, Immunology and Transplantation	IIb	hMPXV-1	B.1.5	0.9994929237509445	0	612	0	good	good	good	good	good		False	2022.4095890410958
OR035710	OR035710.1	MPXV/UZ_REGA_104	2022-10-28	Europe	Belgium			Homo sapiens	2023-05-29		Wawina-Bokalanga et al.	Wawina-Bokalanga,T.,Vanmechelen,B.,Logist,A.-S.,Ysebaert,L.,Verlinden,J.,Horemans,M.,Van Holm,B.,Bloemen,M.,Maes,P.	KU Leuven, Microbiology, Immunology and Transplantation	IIb	hMPXV-1	B.1	0.9884133077090802	2185	596	0	good	good	good	good	good		False	2022.823287671233
OR035721	OR035721.1	MPXV/UZ_REGA_115	2022-10-28	Europe	Belgium			Homo sapiens	2023-05-29		Wawina-Bokalanga et al.	Wawina-Bokalanga,T.,Vanmechelen,B.,Logist,A.-S.,Ysebaert,L.,Verlinden,J.,Horemans,M.,Van Holm,B.,Bloemen,M.,Maes,P.	KU Leuven, Microbiology, Immunology and Transplantation	IIb	hMPXV-1	B.1.15	0.9884082369465896	2186	604	0	good	good	good	good	good		False	2022.823287671233
